id,tested_positive
247,26.134298
248,19.42308
249,10.540205
250,21.898834
251,16.202341
252,20.68228
253,12.177786
254,11.482912
255,9.610996
256,7.603038
257,18.42127
258,14.15629
259,9.715778
260,13.338177
261,5.1645155
262,9.84882
263,21.979183
264,17.622215
265,7.3246813
266,25.660086
267,25.95023
268,7.618174
269,11.654774
270,13.904388
271,9.435015
272,20.63711
273,11.892097
274,7.5176973
275,17.163605
276,19.888592
277,8.055319
278,14.769463
279,17.983994
280,22.266735
281,21.549635
282,17.730587
283,24.08381
284,17.545835
285,22.346586
286,21.194986
287,28.874395
288,6.6231875
289,19.537634
290,12.789463
291,16.555004
292,4.780462
293,5.516514
294,21.829346
295,15.972935
296,6.4035997
297,23.905525
298,10.34906
299,10.639057
300,11.616814
301,21.941236
302,10.124708
303,18.67468
304,12.779226
305,19.013597
306,24.019802
307,30.958735
308,14.148991
309,12.883051
310,11.2523365
311,24.646204
312,9.712746
313,23.4927
314,17.61941
315,16.003168
316,30.415617
317,19.033377
318,19.732521
319,16.239363
320,5.57323
321,7.490593
322,26.797974
323,16.537733
324,10.513166
325,20.141218
326,5.871902
327,23.482077
328,18.659273
329,24.409168
330,11.022438
331,24.06793
332,14.7290535
333,6.3487873
334,12.022015
335,11.739038
336,24.203669
337,10.850498
338,10.752104
339,21.502043
340,14.235592
341,10.773449
342,22.12962
343,15.525675
344,6.4735312
345,17.59032
346,28.128174
347,23.293695
348,20.810751
349,15.588469
350,10.472303
351,25.084814
352,17.30176
353,14.905119
354,5.3759136
355,17.69758
356,23.02179
357,16.61241
358,22.51827
359,15.433964
360,6.729256
361,18.359365
362,9.73217
363,13.086813
364,18.188892
365,34.042664
366,16.706934
367,17.051016
368,5.6732917
369,14.229591
370,14.946791
371,15.420412
372,17.823322
373,13.672993
374,5.395444
375,13.957914
376,11.088032
377,11.213722
378,15.840618
379,21.54673
380,25.544325
381,17.527983
382,10.231819
383,20.282835
384,8.741382
385,15.292404
386,16.056284
387,16.369982
388,15.428518
389,16.478266
390,30.664434
391,12.788448
392,29.87794
393,17.363342
394,8.324244
395,14.258856
396,28.526747
397,20.844645
398,22.012554
399,11.582386
400,16.46372
401,18.697416
402,7.5257916
403,32.115303
404,32.474594
405,11.029469
406,12.734463
407,25.995722
408,11.935375
409,16.11096
410,19.265924
411,10.734398
412,23.8323
413,12.794422
414,11.063749
415,18.402948
416,20.824326
417,24.807121
418,27.66899
419,10.204725
420,14.729652
421,4.060799
422,8.97637
423,10.843456
424,22.111296
425,15.190193
426,18.03228
427,9.721668
428,32.063576
429,20.781523
430,11.291111
431,19.7023
432,16.259138
433,11.735205
434,8.100494
435,22.16319
436,32.91609
437,15.161346
438,5.1885633
439,5.6463156
440,10.398378
441,6.2831593
442,19.356089
443,18.826105
444,21.986609
445,5.5194426
446,5.8432875
447,14.322889
448,24.67298
449,22.923048
450,15.367472
451,9.014578
452,28.205786
453,14.101883
454,12.360676
455,10.655102
456,23.51208
457,16.653595
458,19.985304
459,7.0868754
460,22.196424
461,9.424798
462,16.435299
463,16.631775
464,8.835193
465,9.920194
466,8.888957
467,8.154318
468,11.472935
469,23.90712
470,17.127752
471,13.150967
472,23.873259
473,10.583109
474,13.929256
475,6.7819705
476,13.286856
477,18.64422
478,22.267584
479,21.98028
480,23.811077
481,20.522692
482,27.162848
483,19.598011
484,26.649042
485,8.252932
486,18.651123
487,16.326614
488,25.09805
489,8.023239
490,13.150579
491,21.19914
492,18.639734
493,15.474705
494,16.541267
495,16.027527
496,15.713989
497,6.0602646
498,5.9986305
499,14.038456
500,14.701595
501,6.4979043
502,18.76139
503,13.640848
504,24.76926
505,25.26372
506,21.769396
507,10.467682
508,8.953804
509,17.740068
510,17.275444
511,13.344107
512,18.257458
513,7.3326
514,24.340246
515,16.401451
516,14.374361
517,12.322386
518,13.242287
519,28.400583
520,26.733992
521,15.512333
522,16.927519
523,23.48646
524,11.490076
525,32.812172
526,6.2089233
527,17.00541
528,16.1611
529,7.034577
530,16.761768
531,11.220152
532,11.933733
533,13.376249
534,22.086454
535,5.9687552
536,25.527388
537,9.890329
538,25.859552
539,15.538046
540,41.729404
541,14.015289
542,19.046923
543,4.8619075
544,9.327988
545,11.495653
546,7.1136756
547,25.237982
548,20.394907
549,13.733927
550,12.19434
551,5.865421
552,20.9556
553,29.028948
554,21.229815
555,7.745196
556,14.29838
557,16.02484
558,24.831362
559,17.41037
560,11.721056
561,11.720213
562,22.548672
563,18.259142
564,23.92344
565,12.911556
566,22.530256
567,26.031084
568,5.6653566
569,27.146276
570,13.247519
571,15.947063
572,29.028269
573,23.711676
574,3.998969
575,19.461576
576,25.124262
577,36.591866
578,18.502848
579,21.443192
580,14.124355
581,9.380106
582,13.111485
583,14.43239
584,15.773378
585,8.348571
586,32.04518
587,11.515442
588,8.775366
589,10.255912
590,11.088736
591,22.44922
592,21.656164
593,33.64192
594,29.940414
595,31.656055
596,10.898981
597,12.439596
598,23.936209
599,24.919182
600,5.533692
601,8.314783
602,17.727499
603,17.642525
604,18.640875
605,21.774878
606,17.637852
607,28.503977
608,14.264862
609,22.384386
610,6.52313
611,17.588688
612,11.271351
613,27.076315
614,24.608644
615,8.825876
616,24.152536
617,12.496643
618,19.689505
619,11.660273
620,8.935516
621,15.508316
622,10.6480255
623,23.762346
624,12.511633
625,28.362528
626,14.250692
627,17.654406
628,19.132109
629,11.374229
630,28.24598
631,17.62902
632,29.000923
633,25.937319
634,20.042015
635,10.6009445
636,19.61167
637,10.937597
638,19.192524
639,20.674683
640,9.514599
641,12.040113
642,26.474009
643,30.894636
644,23.418346
645,29.461403
646,12.925327
647,25.430876
648,6.2014246
649,13.301283
650,14.524582
651,17.625055
652,11.930731
653,12.30912
654,13.515514
655,15.544603
656,13.055765
657,30.71969
658,12.21921
659,12.463329
660,28.18582
661,26.998682
662,9.812527
663,11.436926
664,11.494461
665,4.420393
666,24.664785
667,8.880098
668,22.023851
669,22.188963
670,12.963013
671,8.821665
672,7.183127
673,15.938351
674,5.158804
675,13.527496
676,23.247873
677,25.464422
678,16.424774
679,11.385166
680,14.560883
681,10.320951
682,16.107111
683,20.488417
684,5.1292806
685,26.589594
686,19.637972
687,15.001532
688,5.0722322
689,11.909483
690,17.32644
691,7.9982004
692,13.895485
693,7.0804467
694,5.0685706
695,10.836979
696,23.29098
697,29.353819
698,27.525625
699,5.1728554
700,5.5652256
701,8.107575
702,19.546354
703,15.979162
704,27.417316
705,5.4354763
706,17.236895
707,7.7880654
708,11.60005
709,13.034637
710,21.393848
711,9.7637825
712,23.993149
713,12.1910305
714,4.852593
715,5.1795444
716,10.357279
717,21.648966
718,11.721796
719,20.864357
720,9.520129
721,4.997136
722,21.40279
723,25.53995
724,7.6802053
725,18.434896
726,8.485163
727,13.395277
728,6.87573
729,16.331871
730,8.250763
731,9.269396
732,20.661047
733,6.4893355
734,21.086668
735,13.990459
736,6.502114
737,21.29682
738,7.7332883
739,23.697662
740,16.785591
741,17.01063
742,11.632437
743,23.18999
744,14.326742
745,13.698425
746,27.867819
747,29.36301
748,17.00751
749,8.10708
750,10.078284
751,23.804512
752,6.5706835
753,9.663935
754,19.297043
755,20.588419
756,19.32607
757,15.605818
758,11.876698
759,10.484831
760,17.760725
761,10.329369
762,5.8011227
763,23.942156
764,29.883059
765,22.02603
766,18.972376
767,9.314457
768,12.31353
769,14.324919
770,18.328798
771,11.27969
772,24.70158
773,19.449
774,6.632806
775,10.469479
776,23.306543
777,21.301363
778,17.684769
779,12.722576
780,23.170702
781,32.834164
782,17.31283
783,20.737793
784,11.590727
785,7.2428255
786,6.264891
787,21.044813
788,22.624739
789,15.413353
790,20.257166
791,7.403929
792,11.513556
793,15.614819
794,11.244293
795,20.565268
796,12.029669
797,14.167498
798,9.20186
799,16.05839
800,13.8934
801,9.911676
802,11.597162
803,12.314119
804,10.5541725
805,22.253412
806,10.643654
807,19.960428
808,20.273577
809,29.421885
810,16.10215
811,17.164568
812,13.910042
813,16.110924
814,7.735845
815,5.364618
816,5.737446
817,16.664957
818,30.004782
819,10.052752
820,23.396135
821,14.961151
822,16.380775
823,19.630775
824,25.014685
825,6.4283857
826,9.107954
827,19.591633
828,21.11347
829,15.632721
830,18.973524
831,8.635473
832,12.715052
833,12.309351
834,14.682537
835,28.82781
836,12.394211
837,17.408041
838,21.988207
839,18.057037
840,20.09672
841,39.452095
842,33.294758
843,19.392214
844,19.209837
845,9.8089485
846,13.569166
847,17.70306
848,10.202415
849,13.883917
850,6.7259808
851,5.309316
852,6.9621983
853,8.786508
854,9.944168
855,25.385382
856,23.216711
857,20.864061
858,10.403732
859,13.983639
860,21.444372
861,19.75404
862,21.294323
863,20.953917
864,13.102335
865,6.559943
866,9.540195
867,10.947102
868,24.986567
869,23.959211
870,8.903128
871,10.714722
872,15.250469
873,33.443165
874,27.366684
875,17.75888
876,18.624178
877,13.295683
878,20.066072
879,16.539253
880,7.5095577
881,14.236885
882,9.973522
883,14.843252
884,27.072325
885,15.606346
886,29.577612
887,20.503857
888,12.606567
889,5.831915
890,34.943604
891,24.657402
892,18.717718
